latitude,longitude,elevation_m,slope_deg
12.25,75,2.565953024,0.476678252
12.5,75,36.5317395,3.634359901
10.25,76,0.125124593,0.033940176
10.5,76,2.928057243,0.997944724
10.75,76,11.52625111,3.274745147
11,76,50.27821873,6.048332377
11.25,76,94.89145417,9.542507696
11.5,76,600.5393115,16.16313798
11.75,76,792.2232696,10.46369725
12,76,884.6465693,9.949244661
12,75.25,13.20265186,2.397862538
12.25,75.25,84.40483768,8.100596223
12.5,75.25,181.414246,11.94633743
9.5,76.25,1.720010377,0.474035512
9.75,76.25,2.600668711,0.897809351
10,76.25,4.585027826,1.695035326
10.25,76.25,12.50607615,3.228403183
10.5,76.25,42.39408893,5.757267938
10.75,76.25,61.14998924,7.161794742
11,76.25,76.65853879,7.631975837
11.25,76.25,107.8923368,8.416369331
11.5,76.25,720.3463398,14.63022495
11.75,76.25,836.3610741,6.902542623
12,76.25,751.5772429,3.529970338
11.5,75.5,1.32809827,0.270174877
11.75,75.5,18.06661771,2.73080054
12,75.5,70.57548196,7.530033496
12.25,75.5,553.3093981,17.93831582
12.5,75.5,421.5753197,15.3321422
9.5,77.5,482.5269191,12.22107058
11,75.75,1.000843492,0.219295462
11.25,75.75,9.999764516,2.037582231
11.5,75.75,45.80112621,6.682698598
11.75,75.75,323.1839649,13.31141472
12,75.75,289.1749487,12.87904472
12.25,75.75,899.3105827,10.45715468
9,76.5,5.317487302,1.131629902
9.25,76.5,8.285037184,2.45711285
9.5,76.5,10.97676705,3.435912241
9.75,76.5,28.09349197,5.146463303
10,76.5,35.16996056,6.003131881
10.25,76.5,126.0027583,9.669304363
10.5,76.5,267.0799736,13.29189806
10.75,76.5,79.19966992,5.468676927
11,76.5,436.5738985,14.67383313
11.25,76.5,1486.048185,22.00395245
11.5,76.5,1259.895781,13.81367836
11.75,76.5,914.6983371,5.924430446
8.5,76.75,1.237486431,0.254803721
8.75,76.75,29.54150036,3.986703663
9,76.75,46.00383867,6.391593336
9.25,76.75,57.1071658,8.243481383
9.5,76.75,95.0500389,9.114631151
9.75,76.75,176.1490704,13.13633469
10,76.75,159.4085248,11.47750645
10.25,76.75,491.5037622,15.49679724
10.5,76.75,589.2868375,12.42122439
10.75,76.75,159.0371523,5.287248225
11,76.75,749.2122349,14.46874461
11.25,76.75,1107.746981,17.35557828
8.25,77.25,52.81984554,4.594152788
8.5,77.25,395.8778755,14.6936549
8.75,77.25,664.9627879,17.3708268
9,77.25,347.5731782,12.10632812
9.25,77.25,926.18138,19.67507305
9.5,77.25,1100.979133,17.49639181
9.75,77.25,740.3339341,9.969850896
10,77.25,1000.246023,14.98569339
10.25,77.25,1477.250734,19.2230622
8.25,77,4.050712718,0.503485615
8.5,77,50.92486492,5.693386416
8.75,77,151.5820832,10.04024603
9,77,178.9252557,12.6694189
9.25,77,361.735328,17.62550958
9.5,77,558.534053,18.7969745
9.75,77,862.8924181,15.35042744
10,77,940.4444895,18.2792956
10.25,77,1404.509525,18.64924511
10.5,77,616.8501644,10.94854677
10.75,77,292.2376308,3.202794704
