latitude,longitude,elevation_m,slope_deg
8.25,77,645.5111683,9.577415972
8.25,77.25,554.3906976,8.743469405
8.25,77.5,383.8955531,6.263262762
8.5,76.75,485.5475049,8.356021814
8.5,77,645.5111683,9.577415972
8.5,77.25,554.3906976,8.743469405
8.5,77.5,383.8955531,6.263262762
8.75,76.75,485.5475049,8.356021814
8.75,77,645.5111683,9.577415972
8.75,77.25,554.3906976,8.743469405
8.75,77.5,383.8955531,6.263262762
9,76.5,471.5606454,6.710023133
9,76.75,485.5475049,8.356021814
9,77,645.5111683,9.577415972
9,77.25,554.3906976,8.743469405
9,77.5,383.8955531,6.263262762
9.25,76.5,471.5606454,6.710023133
9.25,76.75,485.5475049,8.356021814
9.25,77,645.5111683,9.577415972
9.25,77.25,554.3906976,8.743469405
9.25,77.5,383.8955531,6.263262762
9.5,76.25,315.5701569,4.486688568
9.5,76.5,471.5606454,6.710023133
9.5,76.75,485.5475049,8.356021814
9.5,77,645.5111683,9.577415972
9.5,77.25,554.3906976,8.743469405
9.5,77.5,383.8955531,6.263262762
9.75,76.25,315.5701569,4.486688568
9.75,76.5,471.5606454,6.710023133
9.75,76.75,485.5475049,8.356021814
9.75,77,645.5111683,9.577415972
9.75,77.25,554.3906976,8.743469405
9.75,77.5,383.8955531,6.263262762
10,76.25,315.5701569,4.486688568
10,76.5,471.5606454,6.710023133
10,76.75,485.5475049,8.356021814
10,77,645.5111683,9.577415972
10,77.25,554.3906976,8.743469405
10,77.5,383.8955531,6.263262762
10.25,76,285.0467177,3.482968751
10.25,76.25,315.5701569,4.486688568
10.25,76.5,471.5606454,6.710023133
10.25,76.75,485.5475049,8.356021814
10.25,77,645.5111683,9.577415972
10.25,77.25,554.3906976,8.743469405
10.25,77.5,383.8955531,6.263262762
10.5,76,285.0467177,3.482968751
10.5,76.25,315.5701569,4.486688568
10.5,76.5,471.5606454,6.710023133
10.5,76.75,485.5475049,8.356021814
10.5,77,645.5111683,9.577415972
10.5,77.25,554.3906976,8.743469405
10.5,77.5,383.8955531,6.263262762
10.75,76,285.0467177,3.482968751
10.75,76.25,315.5701569,4.486688568
10.75,76.5,471.5606454,6.710023133
10.75,76.75,485.5475049,8.356021814
10.75,77,645.5111683,9.577415972
10.75,77.25,554.3906976,8.743469405
10.75,77.5,383.8955531,6.263262762
11,75.75,413.5707761,6.332678547
11,76,285.0467177,3.482968751
11,76.25,315.5701569,4.486688568
11,76.5,471.5606454,6.710023133
11,76.75,485.5475049,8.356021814
11,77,645.5111683,9.577415972
11,77.25,554.3906976,8.743469405
11,77.5,383.8955531,6.263262762
11.25,75.75,413.5707761,6.332678547
11.25,76,285.0467177,3.482968751
11.25,76.25,315.5701569,4.486688568
11.25,76.5,471.5606454,6.710023133
11.25,76.75,485.5475049,8.356021814
11.25,77,645.5111683,9.577415972
11.25,77.25,554.3906976,8.743469405
11.25,77.5,383.8955531,6.263262762
11.5,75.5,218.3531509,5.993672575
11.5,75.75,413.5707761,6.332678547
11.5,76,285.0467177,3.482968751
11.5,76.25,315.5701569,4.486688568
11.5,76.5,471.5606454,6.710023133
11.5,76.75,485.5475049,8.356021814
11.5,77,645.5111683,9.577415972
11.5,77.25,554.3906976,8.743469405
11.5,77.5,383.8955531,6.263262762
11.75,75.5,218.3531509,5.993672575
11.75,75.75,413.5707761,6.332678547
11.75,76,285.0467177,3.482968751
11.75,76.25,315.5701569,4.486688568
11.75,76.5,471.5606454,6.710023133
11.75,76.75,485.5475049,8.356021814
11.75,77,645.5111683,9.577415972
11.75,77.25,554.3906976,8.743469405
11.75,77.5,383.8955531,6.263262762
12,75.25,60.94559676,3.701178548
12,75.5,218.3531509,5.993672575
12,75.75,413.5707761,6.332678547
12,76,285.0467177,3.482968751
12,76.25,315.5701569,4.486688568
12,76.5,471.5606454,6.710023133
12,76.75,485.5475049,8.356021814
12,77,645.5111683,9.577415972
12,77.25,554.3906976,8.743469405
12,77.5,383.8955531,6.263262762
12.25,75,22.42213442,1.935227593
12.25,75.25,60.94559676,3.701178548
12.25,75.5,218.3531509,5.993672575
12.25,75.75,413.5707761,6.332678547
12.25,76,285.0467177,3.482968751
12.25,76.25,315.5701569,4.486688568
12.25,76.5,471.5606454,6.710023133
12.25,76.75,485.5475049,8.356021814
12.25,77,645.5111683,9.577415972
12.25,77.25,554.3906976,8.743469405
12.25,77.5,383.8955531,6.263262762
12.5,75,22.42213442,1.935227593
12.5,75.25,60.94559676,3.701178548
12.5,75.5,218.3531509,5.993672575
12.5,75.75,413.5707761,6.332678547
12.5,76,285.0467177,3.482968751
12.5,76.25,315.5701569,4.486688568
12.5,76.5,471.5606454,6.710023133
12.5,76.75,485.5475049,8.356021814
12.5,77,645.5111683,9.577415972
12.5,77.25,554.3906976,8.743469405
12.5,77.5,383.8955531,6.263262762
